nombre,link,plantilla,edad_promedio,extranjeros,valor_mercado,valor_total
Bayern Munich,/fc-bayern-munchen/kader/verein/27/saison_id/2024/plus/1,,26,27.8,€33.04m,€859.00m
Bayer 04 Leverkusen,/bayer-04-leverkusen/kader/verein/15/saison_id/2024/plus/1,,26,26.8,€24.77m,€644.05m
RB Leipzig,/rasenballsport-leipzig/kader/verein/23826/saison_id/2024/plus/1,,26,25.2,€19.64m,€510.75m
Borussia Dortmund,/borussia-dortmund/kader/verein/16/saison_id/2024/plus/1,,28,25.3,€15.59m,€436.40m
VfB Stuttgart,/vfb-stuttgart/kader/verein/79/saison_id/2024/plus/1,,32,24.6,€10.32m,€330.23m
Eintracht Frankfurt,/eintracht-frankfurt/kader/verein/24/saison_id/2024/plus/1,,27,25.5,€11.96m,€323.05m
VfL Wolfsburg,/vfl-wolfsburg/kader/verein/82/saison_id/2024/plus/1,,30,25.8,€8.40m,€252.00m
TSG 1899 Hoffenheim,/tsg-1899-hoffenheim/kader/verein/533/saison_id/2024/plus/1,,33,26.1,€5.23m,€172.75m
SC Freiburg,/sc-freiburg/kader/verein/60/saison_id/2024/plus/1,,27,27.5,€6.14m,€165.85m
1.FSV Mainz 05,/1-fsv-mainz-05/kader/verein/39/saison_id/2024/plus/1,,24,27.2,€6.36m,€152.60m
Borussia Mönchengladbach,/borussia-monchengladbach/kader/verein/18/saison_id/2024/plus/1,,26,26.4,€5.67m,€147.40m
SV Werder Bremen,/sv-werder-bremen/kader/verein/86/saison_id/2024/plus/1,,27,26.7,€4.67m,€126.15m
FC Augsburg,/fc-augsburg/kader/verein/167/saison_id/2024/plus/1,,27,26.4,€4.41m,€119.13m
1.FC Union Berlin,/1-fc-union-berlin/kader/verein/89/saison_id/2024/plus/1,,27,27.7,€4.19m,€113.18m
1.FC Heidenheim 1846,/1-fc-heidenheim-1846/kader/verein/2036/saison_id/2024/plus/1,,28,27.0,€2.38m,€66.78m
FC St. Pauli,/fc-st-pauli/kader/verein/35/saison_id/2024/plus/1,,34,26.7,€1.79m,€61.03m
VfL Bochum,/vfl-bochum/kader/verein/80/saison_id/2024/plus/1,,27,27.4,€2.20m,€59.45m
Holstein Kiel,/holstein-kiel/kader/verein/269/saison_id/2024/plus/1,,29,26.4,€1.61m,€46.63m
